i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
12,1,0.0976562,0.0117188,1.00004,3.86478e-05,0,-4.20426e-05,0.00156104,1.21951e-05,0.00151106,1.18047e-05,5.33114e-17,1.00004
13,1,0.105469,0.0117188,1.00005,4.4095e-05,0,-4.69088e-05,0.00172187,1.34515e-05,0.00166978,1.30445e-05,9.81553e-17,1.00005
14,1,0.113281,0.0117188,1.00005,5.01446e-05,0,-5.20723e-05,0.00188934,1.47597e-05,0.00183518,1.43367e-05,1.78501e-16,1.00005
15,1,0.121094,0.0117188,1.00005,5.68371e-05,0,-5.75306e-05,0.00206309,1.6117e-05,0.00200696,1.56785e-05,3.20627e-16,1.00005
16,1,0.128906,0.0117188,1.00006,6.4213e-05,0,-6.32773e-05,0.00224268,1.75199e-05,0.00218467,1.70667e-05,5.68839e-16,1.00006
17,1,0.136719,0.0117188,1.00006,7.23125e-05,0,-6.93019e-05,0.00242755,1.8964e-05,0.00236776,1.84969e-05,9.96798e-16,1.00006
18,1,0.144531,0.0117188,1.00007,8.11755e-05,0,-7.55895e-05,0.00261702,2.04441e-05,0.00255556,1.99639e-05,1.72525e-15,1.00007
19,1,0.152344,0.0117188,1.00008,9.08408e-05,0,-8.21213e-05,0.00281035,2.19542e-05,0.00274731,2.14617e-05,2.94931e-15,1.00008
20,1,0.160156,0.0117188,1.00008,0.000101346,0,-8.88745e-05,0.0030067,2.34879e-05,0.00294216,2.29838e-05,4.97981e-15,1.00008
21,1,0.167969,0.0117188,1.00009,0.000112727,0,-9.58222e-05,0.00320515,2.50381e-05,0.00313919,2.45228e-05,8.30474e-15,1.00009
22,1,0.175781,0.0117188,1.00009,0.000125018,0,-0.000102934,0.00340472,2.65969e-05,0.00333738,2.60709e-05,1.36791e-14,1.00009
23,1,0.183594,0.0117188,1.0001,0.00013825,0,-0.000110176,0.00360439,2.81566e-05,0.00353568,2.76199e-05,2.22539e-14,1.0001
24,1,0.191406,0.0117188,1.0001,0.000152452,0,-0.000117512,0.00380308,2.97086e-05,0.00373298,2.91609e-05,3.57576e-14,1.0001
25,1,0.199219,0.0117188,1.00011,0.000167649,0,-0.000124901,0.00399971,3.12444e-05,0.00392812,3.06852e-05,5.67469e-14,1.00011
26,1,0.207031,0.0117188,1.00011,0.000183863,0,-0.000132301,0.00419314,3.27553e-05,0.00411993,3.21834e-05,8.89459e-14,1.00011
27,1,0.214844,0.0117188,1.00011,0.000201113,0,-0.000139668,0.00438223,3.42323e-05,0.00430722,3.36463e-05,1.37694e-13,1.00011
28,1,0.222656,0.0117188,1.00012,0.000219411,0,-0.000146956,0.00456587,3.56667e-05,0.00448877,3.50644e-05,2.10528e-13,1.00012
29,1,0.230469,0.0117188,1.00012,0.000238766,0,-0.000154117,0.0047429,3.70495e-05,0.00466338,3.64283e-05,3.17911e-13,1.00012
30,1,0.238281,0.0117188,1.00012,0.000259182,0,-0.000161103,0.00491222,3.8372e-05,0.00482983,3.77285e-05,4.74131e-13,1.00012
31,1,0.246094,0.0117188,1.00012,0.000280656,0,-0.000167864,0.0050727,3.96256e-05,0.00498695,3.89557e-05,6.98372e-13,1.00012
32,1,0.253906,0.0117188,1.00012,0.000303178,0,-0.00017435,0.00522328,4.08018e-05,0.00513353,4.01008e-05,1.01594e-12,1.00012
